date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
26/04/2018,jp,1,197044,0nrRP2bk19rLc0orkWPQk2,['Avicii'],"['pop rap', 'pop', 'pop dance', 'dance pop', 'edm']",247426,FALSE,Wake Me Up
03/05/2018,jp,5,143780,0nrRP2bk19rLc0orkWPQk2,['Avicii'],"['pop rap', 'pop', 'pop dance', 'dance pop', 'edm']",247426,FALSE,Wake Me Up
13/04/2017,gb,8,2227770,5Ohxk2dO5COHF1krpoPigN,['Harry Styles'],['pop'],340706,FALSE,Sign of the Times
04/10/2018,gb,8,1744391,0E9ZjEAyAwOXZ7wJC0PD33,"['Dynoro', ""Gigi D'Agostino""]","['eurodance', 'europop', 'pop dance', 'electro house', 'italo dance', 'tropical house', 'edm']",184560,FALSE,In My Mind
11/10/2018,gb,7,1976971,0E9ZjEAyAwOXZ7wJC0PD33,"['Dynoro', ""Gigi D'Agostino""]","['eurodance', 'europop', 'pop dance', 'electro house', 'italo dance', 'tropical house', 'edm']",184560,FALSE,In My Mind
18/10/2018,gb,9,2020649,0E9ZjEAyAwOXZ7wJC0PD33,"['Dynoro', ""Gigi D'Agostino""]","['eurodance', 'europop', 'pop dance', 'electro house', 'italo dance', 'tropical house', 'edm']",184560,FALSE,In My Mind
07/06/2018,gb,9,2023595,6kPJZM97LwdG9QIsT7khp6,"['Clean Bandit', 'Demi Lovato']","['pop', 'uk funky', 'uk pop', 'pop dance', 'uk dance', 'dance pop', 'edm', 'tropical house', 'post-teen pop']",222653,FALSE,Solo (feat. Demi Lovato)
14/06/2018,gb,4,2556210,6kPJZM97LwdG9QIsT7khp6,"['Clean Bandit', 'Demi Lovato']","['pop', 'uk funky', 'uk pop', 'pop dance', 'uk dance', 'dance pop', 'edm', 'tropical house', 'post-teen pop']",222653,FALSE,Solo (feat. Demi Lovato)
21/06/2018,gb,3,2644250,6kPJZM97LwdG9QIsT7khp6,"['Clean Bandit', 'Demi Lovato']","['pop', 'uk funky', 'uk pop', 'pop dance', 'uk dance', 'dance pop', 'edm', 'tropical house', 'post-teen pop']",222653,FALSE,Solo (feat. Demi Lovato)
28/06/2018,gb,2,3169795,6kPJZM97LwdG9QIsT7khp6,"['Clean Bandit', 'Demi Lovato']","['pop', 'uk funky', 'uk pop', 'pop dance', 'uk dance', 'dance pop', 'edm', 'tropical house', 'post-teen pop']",222653,FALSE,Solo (feat. Demi Lovato)
05/07/2018,gb,6,2943997,6kPJZM97LwdG9QIsT7khp6,"['Clean Bandit', 'Demi Lovato']","['pop', 'uk funky', 'uk pop', 'pop dance', 'uk dance', 'dance pop', 'edm', 'tropical house', 'post-teen pop']",222653,FALSE,Solo (feat. Demi Lovato)
12/07/2018,gb,5,2939439,6kPJZM97LwdG9QIsT7khp6,"['Clean Bandit', 'Demi Lovato']","['pop', 'uk funky', 'uk pop', 'pop dance', 'uk dance', 'dance pop', 'edm', 'tropical house', 'post-teen pop']",222653,FALSE,Solo (feat. Demi Lovato)
19/07/2018,gb,4,2837788,6kPJZM97LwdG9QIsT7khp6,"['Clean Bandit', 'Demi Lovato']","['pop', 'uk funky', 'uk pop', 'pop dance', 'uk dance', 'dance pop', 'edm', 'tropical house', 'post-teen pop']",222653,FALSE,Solo (feat. Demi Lovato)
26/07/2018,gb,7,2717006,6kPJZM97LwdG9QIsT7khp6,"['Clean Bandit', 'Demi Lovato']","['pop', 'uk funky', 'uk pop', 'pop dance', 'uk dance', 'dance pop', 'edm', 'tropical house', 'post-teen pop']",222653,FALSE,Solo (feat. Demi Lovato)
02/08/2018,gb,7,2260543,6kPJZM97LwdG9QIsT7khp6,"['Clean Bandit', 'Demi Lovato']","['pop', 'uk funky', 'uk pop', 'pop dance', 'uk dance', 'dance pop', 'edm', 'tropical house', 'post-teen pop']",222653,FALSE,Solo (feat. Demi Lovato)
09/08/2018,gb,9,2138509,6kPJZM97LwdG9QIsT7khp6,"['Clean Bandit', 'Demi Lovato']","['pop', 'uk funky', 'uk pop', 'pop dance', 'uk dance', 'dance pop', 'edm', 'tropical house', 'post-teen pop']",222653,FALSE,Solo (feat. Demi Lovato)
26/11/2020,jp,9,1200957,7AIj86wFWqm7X1TZ2hzHwS,['Masaki Suda'],"['anime rock', 'j-pop', 'japanese punk rock']",258733,FALSE,虹
03/12/2020,jp,5,1496443,7AIj86wFWqm7X1TZ2hzHwS,['Masaki Suda'],"['anime rock', 'j-pop', 'japanese punk rock']",258733,FALSE,虹
10/12/2020,jp,5,1619282,7AIj86wFWqm7X1TZ2hzHwS,['Masaki Suda'],"['anime rock', 'j-pop', 'japanese punk rock']",258733,FALSE,虹
