year,month,tmax,tmin,af,rain,sun,station
2016,1,8.9,4.5,0,146,25.5,aberporth
2016,2,7.8,3.5,2,85.6,64.4,aberporth
2016,3,8.7,3.5,0,64.4,129.5,aberporth
2016,4,10.2,4.9,0,52.2,143.9,aberporth
2016,5,15.2,8.8,0,56.4,190.9,aberporth
2016,6,17,11.7,0,75.8,149.9,aberporth
2016,7,18.3,12.9,0,50.4,140.4,aberporth
2016,8,18.9,13.2,0,41.4,150.4,aberporth
2016,9,17.9,12.2,0,98.8,103.4,aberporth
2016,10,14.1,8.6,0,40.2,135.4,aberporth
2016,11,9.4,5.4,1,76.6,73.7,aberporth
2016,12,10,5.4,1,54.2,46.5,aberporth
2017,1,7.9,3.9,2,55.2,60.5,aberporth
2017,2,8.8,4.6,1,75.4,51.5,aberporth
2017,3,11.1,5.5,0,110.8,96.2,aberporth
2017,4,11.5,6.6,0,16.6,158.6,aberporth
2017,5,16.2,9.4,0,32.4,224.3,aberporth
2017,6,17.8,11.8,0,105.4,171.6,aberporth
2017,7,18.3,12.6,0,85.6,165.2,aberporth
2017,8,17.6,12,0,99,142.7,aberporth
2017,9,15.9,11,0,145,90.2,aberporth
2017,10,14.6,10.5,0,29.8,57.8,aberporth
2017,11,10.7,6.6,0,130.2,38.8,aberporth
2017,12,8.6,4.9,1,123,32.4,aberporth
2018,1,8.4,3.8,0,117.2,53.5,aberporth
2018,2,6.3,1.3,10,48.6,91.3,aberporth
2018,3,7.7,2.3,6,97,100.6,aberporth
2018,4,12.1,6.4,0,70.6,152.2,aberporth
2018,5,15.3,8.1,0,33.4,219.4,aberporth
2018,6,19.1,12.4,0,10.2,270.2,aberporth
2018,7,20.3,13.4,0,58.6,244.8,aberporth
2018,8,18.5,12.6,0,63.8,128.5,aberporth
2018,9,16,10.8,0,94,132.5,aberporth
2018,10,13.5,8.5,0,131.6,107.7,aberporth
2018,11,10.9,6.3,0,154,81.8,aberporth
2018,12,9.9,6.3,0,125.2,11.3,aberporth
2019,1,7.3,3.8,3,53.8,31.9,aberporth
2019,2,11,5,1,52.8,110.5,aberporth
2019,3,10.1,5.1,0,83,121.4,aberporth
2019,4,13.3,6.4,0,74.4,145.8,aberporth
2019,5,14.2,7.9,0,15,224.1,aberporth
2019,6,16.3,10.6,0,138.2,165.6,aberporth
2019,7,19.2,13.2,0,21.6,208.9,aberporth
2019,8,19.4,13.4,0,69.4,192.4,aberporth
2019,9,17.2,11.8,0,103,159.7,aberporth
2019,10,13.1,8.4,0,138.2,78,aberporth
2019,11,9.3,5.5,0,155.2,45.4,aberporth
2019,12,9.1,4.6,1,126.6,41.8,aberporth
2020,1,8.9,4.7,0,102.8,45.4,aberporth
2020,2,9,4.4,0,150.8,64.6,aberporth
2020,3,9.9,4,0,50.4,168.2,aberporth
2020,4,14.8,7,0,23.8,225.9,aberporth
2020,5,16.8,8.6,0,7.4,306,aberporth
2020,6,17,11.2,0,111.8,145.9,aberporth
2016,1,8.4,3,5,131.9,44.5,armagh
2016,2,8.2,1.1,10,62.6,71.3,armagh
2016,3,10.7,3,4,43.8,117.3,armagh
2016,4,11.3,2.8,5,54,139.7,armagh
2016,5,17.1,7,0,41.4,209.6,armagh
2016,6,19.3,11,0,75.1,113.6,armagh
2016,7,19.5,11.8,0,80.6,113.1,armagh
2016,8,19.6,12.1,0,52.5,134.6,armagh
2016,9,18.2,11.3,0,65.4,91.1,armagh
2016,10,14.2,7.1,0,37.1,89.8,armagh
2016,11,8.8,2.3,8,40.8,75.5,armagh
2016,12,10,4.1,1,51.4,50.5,armagh
2017,1,8.4,2.7,10,27.3,52,armagh
2017,2,9.2,2.8,7,47.9,43.2,armagh
2017,3,12.2,4.2,3,71,116,armagh
2017,4,12.9,5.4,1,8.7,96.3,armagh
2017,5,18.5,7.9,0,35.6,250.2,armagh
2017,6,18.7,11,0,77.5,97.5,armagh
2017,7,19.8,11.2,0,82.5,153,armagh
2017,8,19.1,11,0,77.7,130.5,armagh
2017,9,16.7,9.4,0,91.8,115.7,armagh
2017,10,14.8,8.5,0,66.5,58.8,armagh
2017,11,9.6,3.7,1,63,65.3,armagh
2017,12,7.8,2.7,9,78.4,31.8,armagh
2018,1,7.2,1.8,6,127.1,51.1,armagh
2018,2,7.1,0.2,11,61.6,96.6,armagh
2018,3,8.2,1.4,9,66.3,79.4,armagh
2018,4,12.8,5,2,75.6,129.2,armagh
2018,5,17.9,7.9,0,32.8,202.5,armagh
2018,6,21.9,10.4,0,49.5,189.5,armagh
2018,7,21.6,12.2,0,58.4,178.9,armagh
2018,8,19.1,11.7,0,80.4,118.8,armagh
2018,9,16.5,8.7,0,31.5,105.7,armagh
2018,10,NA,6.5,3,32.8,94.5,armagh
2018,11,NA,5,3,109.5,66.8,armagh
2018,12,NA,4.8,2,85.7,23.5,armagh
2019,1,NA,NA,NA,24.6,NA,armagh
2019,2,11,3.9,2,50,NA,armagh
2019,3,10.9,4.2,1,NA,NA,armagh
2019,4,13.5,5.2,1,54.2,NA,armagh
2019,5,15.5,6.3,0,41.8,NA,armagh
2019,6,18,9.5,0,104.8,NA,armagh
2019,7,20.9,12.8,0,55.8,NA,armagh
2019,8,20.1,12.1,0,125.2,NA,armagh
2019,9,17.9,9.9,0,79.6,NA,armagh
2019,10,13,5.7,2,69.4,NA,armagh
2019,11,9.1,3.1,6,84.8,NA,armagh
2019,12,8.4,3.5,2,74.4,NA,armagh
2020,1,8.8,3.2,3,42.2,NA,armagh
2020,2,8.5,2.5,1,144.2,NA,armagh
2020,3,10.4,2.5,4,45,NA,armagh
2020,4,15.6,4.9,1,17.4,NA,armagh
2020,5,17.6,7,2,18.2,NA,armagh
2020,6,18.7,10.5,0,69.8,NA,armagh
2016,1,7.4,3,5,229,NA,ballypatrick
2016,2,6.5,1.6,4,115.6,NA,ballypatrick
2016,3,8.8,3.2,0,67.8,NA,ballypatrick
2016,4,8.7,2.9,3,91.4,NA,ballypatrick
2016,5,14.4,6.5,0,48.4,NA,ballypatrick
2016,6,16.5,10,0,71,NA,ballypatrick
2016,7,16.6,10.6,0,105.8,NA,ballypatrick
2016,8,17.3,11.3,0,71.9,NA,ballypatrick
2016,9,16.9,10.5,0,72.8,NA,ballypatrick
2016,10,12.5,7.9,0,60.2,NA,ballypatrick
2016,11,8,3.1,7,108.8,NA,ballypatrick
2016,12,9.4,4.8,0,80,NA,ballypatrick
2017,1,7.6,3.3,4,86.8,NA,ballypatrick
2017,2,7.8,2.9,4,90.4,NA,ballypatrick
2017,3,10.3,3.8,3,122,NA,ballypatrick
2017,4,10.5,5.1,0,38.6,NA,ballypatrick
2017,5,15.7,7.4,0,63.4,NA,ballypatrick
2017,6,16.4,10.1,0,96.2,NA,ballypatrick
2017,7,16.8,10.2,0,175.2,NA,ballypatrick
2017,8,16.7,10.5,0,101.8,NA,ballypatrick
2017,9,14.8,9.2,0,178.6,NA,ballypatrick
2017,10,13.4,8.3,0,115,NA,ballypatrick
2017,11,8.2,4.1,1,148,NA,ballypatrick
2017,12,7.3,3.3,4,140.8,NA,ballypatrick
2018,1,6.4,1.9,6,198.2,NA,ballypatrick
2018,2,5.5,0.8,9,80.6,NA,ballypatrick
2018,3,6.3,1.3,7,110.6,NA,ballypatrick
2018,4,10.6,4.5,3,73.6,NA,ballypatrick
2018,5,16,7.3,0,53.8,NA,ballypatrick
2018,6,18,9.3,0,49,NA,ballypatrick
2018,7,17.9,11.3,0,78.6,NA,ballypatrick
2018,8,16.5,10.6,0,125.6,NA,ballypatrick
2018,9,14.5,8.5,0,80,NA,ballypatrick
2018,10,11.9,6.7,1,95.4,NA,ballypatrick
2018,11,9.8,5.5,0,149.8,NA,ballypatrick
2018,12,8.7,4.5,0,150.8,NA,ballypatrick
2019,1,6.6,3,6,67.6,NA,ballypatrick
2019,2,10.1,4,3,58.8,NA,ballypatrick
2019,3,9.4,3.5,0,157.4,NA,ballypatrick
2019,4,11.3,5.4,1,84.6,NA,ballypatrick
2019,5,12.5,5.6,1,58,NA,ballypatrick
2019,6,15.8,8.9,0,100.6,NA,ballypatrick
2019,7,17.4,12,0,122,NA,ballypatrick
2019,8,17.7,11.5,0,184.4,NA,ballypatrick
2019,9,15.3,9.7,0,83.8,NA,ballypatrick
2019,10,11.2,6.3,0,116.4,NA,ballypatrick
2019,11,8,3.8,5,174.4,NA,ballypatrick
2019,12,7.9,3.4,1,132,NA,ballypatrick
2020,1,8.1,3.3,1,71.8,NA,ballypatrick
2020,2,7,1.7,1,246.4,NA,ballypatrick
2020,3,8.2,2.6,2,58.4,NA,ballypatrick
2020,4,12.1,4.5,2,29.6,NA,ballypatrick
2020,5,14,6.9,1,37.2,NA,ballypatrick
2020,6,15.8,9.3,0,95.2,NA,ballypatrick
2016,1,7.5,2.3,10,137.8,NA,bradford
2016,2,7.4,1.3,9,72.8,NA,bradford
2016,3,8.8,2.4,5,90.2,NA,bradford
2016,4,10.9,2.9,3,67.6,NA,bradford
2016,5,16.3,7.4,0,44.8,NA,bradford
2016,6,18.3,10.7,0,105.6,NA,bradford
2016,7,19.9,12.7,0,34.2,NA,bradford
2016,8,19.7,12.4,0,60.2,NA,bradford
2016,9,19.4,12,0,53.6,NA,bradford
2016,10,13.6,7.4,0,30.4,NA,bradford
2016,11,7.8,2.4,8,95,NA,bradford
2016,12,9.2,3.6,5,37.2,NA,bradford
2017,1,6.6,1.8,11,36,NA,bradford
2017,2,8,3.2,2,57.8,NA,bradford
2017,3,11.5,4.9,1,80,NA,bradford
2017,4,12.7,4.8,1,20.4,NA,bradford
2017,5,17.1,8.3,0,40.6,NA,bradford
2017,6,18.9,11.7,0,105.2,NA,bradford
2017,7,19.9,11.8,0,74.2,NA,bradford
2017,8,19,11.3,0,59.8,NA,bradford
2017,9,16.6,9.5,0,96.6,NA,bradford
2017,10,14.8,9.2,1,72.2,NA,bradford
2017,11,9.5,3.4,6,40.4,NA,bradford
2017,12,7,1.9,11,52.8,NA,bradford
2018,1,6.9,2.4,6,107.8,NA,bradford
2018,2,5.2,0.1,12,46,NA,bradford
2018,3,7,0.9,13,84.8,NA,bradford
2018,4,12.6,5.5,0,82.6,NA,bradford
2018,5,18.6,7.8,0,23.4,NA,bradford
2018,6,20.6,10.8,0,6,NA,bradford
2018,7,24.3,12.6,0,57.8,NA,bradford
2018,8,20.2,12.3,0,43.2,NA,bradford
2018,9,16.9,9.2,0,63,NA,bradford
2018,10,13.9,6.4,1,34.8,NA,bradford
2018,11,10.1,4.9,1,65.2,NA,bradford
2018,12,8.6,3.5,7,87.2,NA,bradford
2019,1,6.1,1.8,11,22.6,NA,bradford
2019,2,11.1,2.8,4,31,NA,bradford
2019,3,10.6,4.1,1,128.6,NA,bradford
2019,4,13.5,4,5,24.6,NA,bradford
2019,5,15.2,6.8,0,44.4,NA,bradford
2019,6,17.6,10,0,97.8,NA,bradford
2019,7,21.7,13.1,0,97.4,NA,bradford
2019,8,20.4,13,0,82.8,NA,bradford
2019,9,17.1,9.7,0,132.4,NA,bradford
2019,10,12,6.2,1,155.4,NA,bradford
2019,11,7.6,3.4,5,140.6,NA,bradford
2019,12,8,2.9,4,73.8,NA,bradford
2020,1,8.8,3.9,2,63.6,NA,bradford
2020,2,8.5,2.5,1,266.8,NA,bradford
2020,3,10.3,2.4,5,66,NA,bradford
2020,4,14.8,5.2,1,12.6,NA,bradford
2020,5,NA,NA,NA,NA,NA,bradford
2020,6,NA,NA,NA,NA,NA,bradford
2016,1,4.5,-0.7,19,238.8,NA,braemar
2016,2,4.4,-2.8,19,63.2,NA,braemar
2016,3,8.5,-0.7,17,56,NA,braemar
2016,4,8,0.3,13,58.8,NA,braemar
2016,5,14.7,3.7,2,32.2,NA,braemar
2016,6,16.6,7.4,0,110.1,NA,braemar
2016,7,17.3,9,0,67.2,NA,braemar
2016,8,17.7,8.2,0,50.6,NA,braemar
2016,9,16.6,8.7,0,70.6,NA,braemar
2016,10,11.4,2.4,9,60,NA,braemar
2016,11,5.6,-2.5,18,75.2,NA,braemar
2016,12,8.2,1.5,11,74,NA,braemar
2017,1,6.1,-1.4,20,51.8,NA,braemar
2017,2,6.1,-0.1,16,74.6,NA,braemar
2017,3,9.1,-0.2,17,55.4,NA,braemar
2017,4,10.2,1.9,8,31.5,NA,braemar
2017,5,16,3.4,11,36.8,NA,braemar
2017,6,15.7,8.2,1,68,NA,braemar
2017,7,17,8.3,0,47.2,NA,braemar
2017,8,16.9,8.1,0,52.2,NA,braemar
2017,9,14.1,6.8,2,89.2,NA,braemar
2017,10,12.8,5.8,3,59.6,NA,braemar
2017,11,6,0,10,72,NA,braemar
2017,12,5.2,-1.6,20,34,NA,braemar
2018,1,3.9,-1.8,19,64,NA,braemar
2018,2,3.3,-2.5,24,43,NA,braemar
2018,3,4,-2.2,24,75.4,NA,braemar
2018,4,10,1.4,14,46,NA,braemar
2018,5,16.9,4,5,34.4,NA,braemar
2018,6,19.6,7.8,0,49.4,NA,braemar
2018,7,20.9,9.8,0,63.8,NA,braemar
2018,8,17,7.9,1,56.4,NA,braemar
2018,9,14,6,3,83.2,NA,braemar
2018,10,11.4,3,10,84,NA,braemar
2018,11,8.2,1.2,9,166.6,NA,braemar
2018,12,6.2,-0.3,13,64.2,NA,braemar
2019,1,4.4,-3.6,22,50,NA,braemar
2019,2,8.6,-0.4,14,46.8,NA,braemar
2019,3,7.6,1.5,9,118.6,NA,braemar
2019,4,11.4,1,9,53.8,NA,braemar
2019,5,12.5,2.8,5,125.5,NA,braemar
2019,6,15.4,6.2,0,74.4,NA,braemar
2019,7,19.6,10.6,0,70,NA,braemar
2019,8,17.8,9.1,0,100.2,NA,braemar
2019,9,15.3,6.2,2,54.2,NA,braemar
2019,10,9.8,2,12,64.2,NA,braemar
2019,11,5.3,-0.8,15,122.4,NA,braemar
2019,12,6.3,0.4,13,93.4,NA,braemar
2020,1,7.1,1.3,9,74.8,NA,braemar
2020,2,4.9,-1.7,18,164.2,NA,braemar
2020,3,7,0,13,28,NA,braemar
2020,4,12.2,-0.4,16,19.4,NA,braemar
2020,5,14.9,3.7,7,42.6,NA,braemar
2020,6,16.9,7.9,1,81.6,NA,braemar
2016,1,10.4,6,0,221.6,48,camborne
2016,2,9.1,4.9,0,161.6,64.1,camborne
2016,3,9.6,4.6,0,88.4,139.9,camborne
2016,4,11,6.1,0,81.4,183.8,camborne
2016,5,14.9,9.2,0,45.6,206.1,camborne
2016,6,17,12.1,0,65.8,131.8,camborne
2016,7,18.9,13.4,0,23.2,160.9,camborne
2016,8,19.4,13.9,0,57.4,171.1,camborne
2016,9,18.1,13.3,0,153.7,102.8,camborne
2016,10,14.9,9.5,0,53.2,124.9,camborne
2016,11,11.1,6.4,0,137,56.5,camborne
2016,12,11.3,7.2,0,58.4,47.3,camborne
2017,1,9.2,5.3,0,57.8,59.2,camborne
2017,2,10.1,5.8,2,100.6,56.9,camborne
2017,3,11.5,7.2,0,89.2,80.3,camborne
2017,4,12.6,6.5,0,24.8,216.2,camborne
2017,5,15.5,9.8,0,46.8,169,camborne
2017,6,18,12.3,0,102,175.3,camborne
2017,7,18.7,13.6,0,104.6,135.9,camborne
2017,8,18.1,12.8,0,70.4,163.2,camborne
2017,9,16.2,11.8,0,130.6,119,camborne
2017,10,15.2,11.4,0,57.6,68.7,camborne
2017,11,11.6,7.6,0,66.4,61.4,camborne
2017,12,10.2,6.1,0,154.2,34.5,camborne
2018,1,10.2,5.7,0,176.2,56.7,camborne
2018,2,7.3,2.7,4,85,106,camborne
2018,3,8.8,3.6,5,153.6,114.2,camborne
2018,4,12.8,7.1,0,85,146.7,camborne
2018,5,15.5,8.9,0,50.4,183.7,camborne
2018,6,19.7,12.9,0,8.8,215.1,camborne
2018,7,21.5,14.3,0,47.6,226.7,camborne
2018,8,19.5,14,0,54,119.8,camborne
2018,9,17.8,12,0,59,138.5,camborne
2018,10,14.4,9.3,0,99.8,120.8,camborne
2018,11,12,7.5,1,212,73.9,camborne
2018,12,11.4,7.9,0,165.6,20.5,camborne
2019,1,8.8,5.5,0,78.8,25.4,camborne
2019,2,11.3,6.1,1,72,118.5,camborne
2019,3,11.2,6.3,0,101.8,150.6,camborne
2019,4,13.2,7.4,0,81.8,159.3,camborne
2019,5,14.4,8.9,0,18.6,219.5,camborne
2019,6,16.5,11.4,0,84.4,162.8,camborne
2019,7,20.1,13.7,0,54.2,225.6,camborne
2019,8,19.3,14,0,95.8,161.1,camborne
2019,9,17.4,12.7,0,122.2,140.7,camborne
2019,10,14.4,10,0,196.2,85.6,camborne
2019,11,10.8,7.2,0,219.6,34.7,camborne
2019,12,10.6,6,0,133,38.2,camborne
2020,1,10,5.6,0,96.6,58.7,camborne
2020,2,10.3,6,0,176,63.4,camborne
2020,3,10.6,5.1,0,75.8,149.7,camborne
2020,4,14.6,7.7,0,40,200.7,camborne
2020,5,16.4,8.9,0,28.8,287.2,camborne
2020,6,17.2,11.7,0,117,112.1,camborne
2016,1,8.7,2.6,4,49.8,NA,cambridge
2016,2,8.8,1.9,11,24.6,NA,cambridge
2016,3,10,1.9,8,50.4,NA,cambridge
2016,4,12.4,3.6,3,58.8,NA,cambridge
2016,5,17.7,7.8,0,39.4,NA,cambridge
2016,6,19.7,11.4,0,66.4,NA,cambridge
2016,7,23.2,13.1,0,18.2,NA,cambridge
2016,8,23.9,12.7,0,44,NA,cambridge
2016,9,21.8,12.6,0,45.2,NA,cambridge
2016,10,15,7.2,0,19.6,NA,cambridge
2016,11,9.6,2.4,6,56.8,NA,cambridge
2016,12,9.4,2.4,9,25.4,NA,cambridge
2017,1,6.7,0.5,15,48,NA,cambridge
2017,2,9.3,3.8,1,43.4,NA,cambridge
2017,3,13.4,5.2,1,29.8,NA,cambridge
2017,4,14.5,4.8,2,12.8,NA,cambridge
2017,5,18.6,8.8,0,64.8,NA,cambridge
2017,6,21.9,12.6,0,59,NA,cambridge
2017,7,22.1,13.2,0,94.8,NA,cambridge
2017,8,21.5,11.9,0,64.2,NA,cambridge
2017,9,18.3,9.8,0,58.6,NA,cambridge
2017,10,16.3,9.1,0,22.4,NA,cambridge
2017,11,10.2,3.6,4,36.6,NA,cambridge
2017,12,7.5,1.9,11,70.8,NA,cambridge
2018,1,8.5,2.4,7,47.4,NA,cambridge
2018,2,5.9,-0.3,17,32,NA,cambridge
2018,3,8.7,1.9,6,64.2,NA,cambridge
2018,4,14.2,6.6,0,64.6,NA,cambridge
2018,5,19.1,7.6,0,43.8,NA,cambridge
2018,6,22,10.7,0,0.8,NA,cambridge
2018,7,26.7,13.6,0,12.4,NA,cambridge
2018,8,23.1,13.1,0,62.8,NA,cambridge
2018,9,19.9,9.5,0,23.6,NA,cambridge
2018,10,15.8,7.1,2,61.4,NA,cambridge
2018,11,11.4,5.2,1,29.6,NA,cambridge
2018,12,9.8,4.2,2,55.2,NA,cambridge
2019,1,6.7,1,13,21.2,NA,cambridge
2019,2,11.6,1.7,11,27.2,NA,cambridge
2019,3,12.2,4.5,1,37.4,NA,cambridge
2019,4,15,2.8,7,10.8,NA,cambridge
2019,5,17.1,6.6,0,41.4,NA,cambridge
2019,6,20.1,10.8,0,79.2,NA,cambridge
2019,7,24.1,13.4,0,NA,NA,cambridge
